run_id,episode,train_reward,eval_avg_reward,eval_avg_energy,eval_avg_comfort_violation,epsilon,learning_rate,gamma,epsilon_decay
qlearning_v1,307,-734.7597,,,,0.214628,0.1,0.95,0.995
qlearning_v1,308,-785.6583,,,,0.213555,0.1,0.95,0.995
qlearning_v1,309,-575.7354,,,,0.212487,0.1,0.95,0.995
qlearning_v1,310,-750.3618,,,,0.211424,0.1,0.95,0.995
qlearning_v1,311,-539.8509,,,,0.210367,0.1,0.95,0.995
qlearning_v1,312,-754.7771,,,,0.209315,0.1,0.95,0.995
qlearning_v1,313,-698.3638,,,,0.208269,0.1,0.95,0.995
qlearning_v1,314,-649.7947,,,,0.207227,0.1,0.95,0.995
qlearning_v1,315,-678.2655,,,,0.206191,0.1,0.95,0.995
qlearning_v1,316,-518.6309,,,,0.20516,0.1,0.95,0.995
qlearning_v1,317,-697.2481,,,,0.204135,0.1,0.95,0.995
qlearning_v1,318,-639.9025,,,,0.203114,0.1,0.95,0.995
qlearning_v1,319,-845.3916,,,,0.202098,0.1,0.95,0.995
qlearning_v1,320,-663.7097,,,,0.201088,0.1,0.95,0.995
qlearning_v1,321,-666.0725,,,,0.200082,0.1,0.95,0.995
qlearning_v1,322,-620.2383,,,,0.199082,0.1,0.95,0.995
qlearning_v1,323,-695.5565,,,,0.198087,0.1,0.95,0.995
qlearning_v1,324,-681.0244,,,,0.197096,0.1,0.95,0.995
qlearning_v1,325,-852.4505,,,,0.196111,0.1,0.95,0.995
qlearning_v1,326,-702.3809,,,,0.19513,0.1,0.95,0.995
qlearning_v1,327,-636.5327,,,,0.194154,0.1,0.95,0.995
qlearning_v1,328,-749.7007,,,,0.193184,0.1,0.95,0.995
qlearning_v1,329,-882.2849,,,,0.192218,0.1,0.95,0.995
qlearning_v1,330,-712.1142,,,,0.191257,0.1,0.95,0.995
qlearning_v1,331,-681.8831,,,,0.1903,0.1,0.95,0.995
qlearning_v1,332,-629.5976,,,,0.189349,0.1,0.95,0.995
qlearning_v1,333,-730.3974,,,,0.188402,0.1,0.95,0.995
qlearning_v1,334,-749.2023,,,,0.18746,0.1,0.95,0.995
qlearning_v1,335,-723.357,,,,0.186523,0.1,0.95,0.995
qlearning_v1,336,-843.8632,,,,0.18559,0.1,0.95,0.995
qlearning_v1,337,-769.0242,,,,0.184662,0.1,0.95,0.995
qlearning_v1,338,-764.1368,,,,0.183739,0.1,0.95,0.995
qlearning_v1,339,-751.6914,,,,0.18282,0.1,0.95,0.995
qlearning_v1,340,-669.326,,,,0.181906,0.1,0.95,0.995
qlearning_v1,341,-767.5638,,,,0.180997,0.1,0.95,0.995
qlearning_v1,342,-644.0229,,,,0.180092,0.1,0.95,0.995
qlearning_v1,343,-829.1493,,,,0.179191,0.1,0.95,0.995
qlearning_v1,344,-789.482,,,,0.178295,0.1,0.95,0.995
qlearning_v1,345,-640.3544,,,,0.177404,0.1,0.95,0.995
qlearning_v1,346,-735.3732,,,,0.176517,0.1,0.95,0.995
qlearning_v1,347,-696.8922,,,,0.175634,0.1,0.95,0.995
qlearning_v1,348,-780.3699,,,,0.174756,0.1,0.95,0.995
qlearning_v1,349,-816.6824,,,,0.173882,0.1,0.95,0.995
qlearning_v1,350,-665.7407,-634.4656,134.7,416.8906,0.173013,0.1,0.95,0.995
qlearning_v1,351,-695.0573,,,,0.172148,0.1,0.95,0.995
qlearning_v1,352,-929.2859,,,,0.171287,0.1,0.95,0.995
qlearning_v1,353,-680.1402,,,,0.170431,0.1,0.95,0.995
